code_frames,text,label
9,PCG urges vacationers to be careful amid Holy Week 2023 drowning incidents,8
12,"Editorial: In passing Prop 8, voters send conflicting message",11
10,"MANILA – The northeast monsoon or “amihan” will affect most of Luzon on Saturday, bringing overcast skies and some rains.",9
7,"President Ferdinand ""Bongbong"" Marcos Jr. will ask the International Criminal Police Organization (Interpol) to issue a blue notice against the suspects in the killing of Negros Oriental Govenor Roel Degamo.",6
3,You could be married by a cleric of any religion practiced in America,2
13,The Democrats had grabbed the House floor for what amounted to an impromptu 25-hour filibuster to protest the unwillingness of Republican leadership to call a vote on gun control legislation.,12
5,"Justices, armed with activism",4
6,"West Philippine Sea, LGBTQ, human rights in draft Grade 10 curriculum",5
7,"BIR forms task force vs traders using fake receipts, invoices",6
13,"Gay G.O.P. Candidates Feature Partners in Ads
",12
6,"DepEd seeks help of partners for key reform objectives, priority interventions in education",5
15,4Ps beneficiary tops Civil Engineers Licensure Exam,14
7," In Colorado, two heavily armed teenagers carry out a massacre. In West Palm Beach, a boy shoots and kills his teacher on the last day of school.",6
11,"
CULTURE DIVIDES SIDES IN TUG-OF-WAR OVER GUNS",10
1,he tax-supported fund was set up in 2000 ,0
13,"BREAKING WITH DAD, VANESSA COMES OUT FOR GAY NUPTIALS
",12
2,"DepEd plans to hire 9,650 new teachers in 2023",1
11,Blog Log: #DeleteUber trends during immigration ban,10
7,"""I'd much rather be sitting in jail with a felony sentence on my head for having carried that gun and have my parents alive,"" Gratia-Hupp said.",6
5,"During closing arguments, prosecutors walked the jury through the evidence they presented during the weeklong first-degree murder trial.
",4
9,"This new era in death row improvisation has produced sometimes disturbing results, even before the debacle in Oklahoma, in which Lockett thrashed on a gurney before dying from an apparent heart attack after 43 minutes. Oklahoma's corrections director said the vein line meant to administer lethal drugs into Lockett's body had ""exploded"" and that the drugs were not having the intended effect.",8
8,Guns won't deter college sexual assault;,7
15,"MANILA – The low-pressure area (LPA) last tracked 95 km. east of Puerto Princesa City, Palawan has a moderate chance of developing into a tropical cyclone over the weekend, a weather forecaster said Friday.",14
